id,code,name,level,longitude,latitude
aFqimfhTguT,KEN-NIA-GANP,Gandorhun (Niawa) CHP,5,-11.448770000000001,7.6148549999999995
nqh9ziPHFIf,FAL-KAB-GANM,Ganya CHP,5,-11.28382,9.932464
aDahYoAj2KS,KEN-DAM-GAOM,Gao MCHP,5,-11.188320000000001,7.715376
uq8OwgoerSJ,PUJ-MAK-GBAP,Gbaa (Makpele) CHP,5,-11.23587,7.27526
a0jN5mmnDJE,BOO-BON-GBAM,Gbaama MCHP,5,-11.615760000000002,7.838480000000001
C3L0ockE5DC,KEN-KAN-GBOP,Gbado CHP,5,-11.27772,8.010802
ZLfGO3y1nIR,KEN-SIM-GBMM,Gbageima MCHP,5,-11.306030000000002,8.172400999999999
rqEpgrtV1km,BOO-BAO-GBAP,Gbahama (Baoma) CHP,5,-11.34121,8.040469
kNF6ENbVRHG,PUJ-MAK-GBAM,Gbahama (Makpele) MCHP,5,-11.345123,7.297572
d1bwN4YpV7B,KAI-PEB-GBAP,Gbahama (Peje Bongre) CHP,5,-10.71724,8.236934
xddkjfAwqmL,BOO-GBO-GBAC,Gbaiima CHC,5,-11.8492,8.109473
mrsdUJEUFzV,KAR-GBA-GBAM,Gbainkfay MCHP,5,-12.256302,9.300797
IZBJS2thBFM,PLT-LOK-GBAP,Gbainty Wallah CHP,5,-13.106948,8.803061
GpaE2tr4Fkt,KAI-LUA-GBAP,Gbalahun CHP,5,-10.488650000000002,8.254420000000001
qbRJ1UF9HRc,KAM-GBI-GBAC,Gbalamuya CHC,5,-12.958580000000001,9.173567
eMfWnA4VjGi,KAM-MUN-GBAM,Gbalan Thallan MCHP,5,-12.76002,9.022658
ZJyy70p9b7u,KON-SOA-GBAM,Gbamandu MCHP,5,-10.668970000000002,8.642617
RSnjqw2WbhQ,BON-NON-GBAP,Gbamani CHP,5,-12.261633,7.378310000000001
SP4whqmVLqB,KON-SAN-GBAM,Gbambiadu MCHP,5,-11.270610000000001,8.707590000000001
ODcnNynUgRe,BON-IMP-GBAP,Gbamgbaia CHC,5,-12.365598,7.783668
cq5GCi2fbTS,BON-IMP-GBAC,Gbamgbama CHC,5,-12.309600000000001,7.705705
ortwyjbHCYD,KAI-KIS-GBAP,Gbandiwulo CHP,5,-10.378770000000001,8.167290000000001
